index,name,imdb_url,screentime,episodes,portrayed_by_name,portrayed_by_imdb_url
59,Viserys Targaryen,http://www.imdb.com/character/ch0155775/,20.3,6,Harry Lloyd,http://www.imdb.com/name/nm0516003/
60,Qyburn,http://www.imdb.com/character/ch0316929/,19.15,14,Anton Lesser,http://www.imdb.com/name/nm0504320/
61,Jojen Reed,http://www.imdb.com/character/ch0316921/,19.0,10,Thomas Brodie-Sangster,http://www.imdb.com/name/nm1032473/
62,Maester Aemon,http://www.imdb.com/character/ch0246936/,19.0,11,Peter Vaughan,http://www.imdb.com/name/nm0891092/
63,Ellaria Sand,http://www.imdb.com/character/ch0309687/,18.3,11,Indira Varma,http://www.imdb.com/name/nm0890055/
64,Lancel Lannister,http://www.imdb.com/character/ch0376927/,18.3,17,Eugene Simon,http://www.imdb.com/name/nm1638294/
65,Shireen Baratheon,http://www.imdb.com/character/ch0306346/,18.15,10,Kerry Ingram,http://www.imdb.com/name/nm5081192/
66,Edmure Tully,http://www.imdb.com/character/ch0316931/,17.45,8,Tobias Menzies,http://www.imdb.com/name/nm0580014/
67,Gregor Clegane,http://www.imdb.com/character/ch0245401/,17.15,14,Conan Stevens,http://www.imdb.com/name/nm1947403/
68,Lysa Arryn,http://www.imdb.com/character/ch0251736/,16.3,5,Kate Dickie,http://www.imdb.com/name/nm0225483/
69,Meryn Trant,http://www.imdb.com/character/ch0246933/,16.0,18,Ian Beattie,http://www.imdb.com/name/nm0064155/
70,Brynden 'Blackfish' Tully,http://www.imdb.com/character/ch0381563/,16.0,7,Clive Russell,http://www.imdb.com/name/nm0751085/
71,Walder Frey,http://www.imdb.com/character/ch0305328/,15.45,5,David Bradley,http://www.imdb.com/name/nm0103195/
72,Thoros of Myr,http://www.imdb.com/character/ch0316927/,15.0,7,Paul Kaye,http://www.imdb.com/name/nm0443373/
73,Janos Slynt,http://www.imdb.com/character/ch0300651/,14.15,15,Dominic Carter,http://www.imdb.com/name/nm0141582/
74,Locke,http://www.imdb.com/character/ch0045904/,13.0,8,Noah Taylor,http://www.imdb.com/name/nm0852965/
75,Myranda,http://www.imdb.com/character/ch0316926/,13.0,8,Charlotte Hope,http://www.imdb.com/name/nm3745225/
76,Rickon Stark,http://www.imdb.com/character/ch0233141/,12.45,14,Art Parkinson,http://www.imdb.com/name/nm3280686/
77,Rodrik Cassel,http://www.imdb.com/character/ch0171391/,12.45,15,Ron Donachie,http://www.imdb.com/name/nm0231871/
78,Waif,http://www.imdb.com/character/ch0508054/,12.45,11,Faye Marsay,http://www.imdb.com/name/nm3849670/
79,Hot Pie,http://www.imdb.com/character/ch0273432/,12.45,10,Ben Hawkey,http://www.imdb.com/name/nm3444954/
80,Rast,http://www.imdb.com/character/ch0251498/,12.45,12,Luke Barnes,http://www.imdb.com/name/nm4430828/
81,Septa Unella,http://www.imdb.com/character/ch0512215/,12.3,8,Hannah Waddingham,http://www.imdb.com/name/nm1821446/
82,Olly,http://www.imdb.com/character/ch0508055/,12.3,17,Brenock O'Connor,http://www.imdb.com/name/nm5282143/
83,Doreah,http://www.imdb.com/character/ch0248504/,12.3,11,Roxanne McKee,http://www.imdb.com/name/nm1861467/
84,Balon Greyjoy,http://www.imdb.com/character/ch0292152/,12.15,4,Patrick Malahide,http://www.imdb.com/name/nm0538869/
85,Benjen Stark,http://www.imdb.com/character/ch0153996/,12.0,7,Joseph Mawle,http://www.imdb.com/name/nm1152798/
86,Pypar,http://www.imdb.com/character/ch0273477/,12.0,13,Josef Altin,http://www.imdb.com/name/nm1086981/
87,Yoren,http://www.imdb.com/character/ch0251493/,12.0,7,Francis Magee,http://www.imdb.com/name/nm0535837/
88,Myrcella Baratheon,http://www.imdb.com/character/ch0238585/,11.45,12,Aimee Richardson,http://www.imdb.com/name/nm4048461/
89,Hizdahr zo Loraq,http://www.imdb.com/character/ch0414458/,11.45,8,Joel Fry,http://www.imdb.com/name/nm2181128/
90,Mace Tyrell,http://www.imdb.com/character/ch0384328/,11.3,13,Roger Ashton-Griffiths,http://www.imdb.com/name/nm0004355/
91,Robin Arryn,http://www.imdb.com/character/ch0300949/,11.15,8,Lino Facioli,http://www.imdb.com/name/nm2996220/
92,Beric Dondarrion,http://www.imdb.com/character/ch0305320/,11.15,6,David Michael Scott,http://www.imdb.com/name/nm2364108/
93,Karl Tanner,http://www.imdb.com/character/ch0396528/,11.15,4,Burn Gorman,http://www.imdb.com/name/nm1218607/
94,Selyse Baratheon,http://www.imdb.com/character/ch0316924/,11.0,11,Sarah MacKeever,http://www.imdb.com/name/nm5223922/
95,Xaro Xhoan Daxos,http://www.imdb.com/character/ch0303950/,10.3,5,Nonso Anozie,http://www.imdb.com/name/nm1996829/
96,Irri,http://www.imdb.com/character/ch0249444/,10.0,13,Amrita Acharia,http://www.imdb.com/name/nm3822505/
97,Lady Crane,http://www.imdb.com/character/ch0541190/,10.0,3,Essie Davis,http://www.imdb.com/name/nm0204583/
98,Qhorin Halfhand,http://www.imdb.com/character/ch0303951/,9.3,4,Simon Armstrong,http://www.imdb.com/name/nm1409802/
99,Orell,http://www.imdb.com/character/ch0316922/,9.0,6,Mackenzie Crook,http://www.imdb.com/name/nm0188871/
100,Rakharo,http://www.imdb.com/character/ch0251495/,8.45,8,Elyes Gabel,http://www.imdb.com/name/nm1175468/
101,Kevan Lannister,http://www.imdb.com/character/ch0305013/,8.3,11,Ian Gelder,http://www.imdb.com/name/nm0312245/
102,Tyene Sand,http://www.imdb.com/character/ch0468075/,8.3,7,Rosabell Laurenti Sellers,http://www.imdb.com/name/nm3065809/
103,Olyvar,http://www.imdb.com/character/ch0403194/,8.15,6,Will Tudor,http://www.imdb.com/name/nm4831584/
